,Brand,Product Name,Screen Size (Inches),Display type,Resolution (Pixels),Processor,Clock Speed (GHz),Core Count,Graphics,RAM (GB),RAM type,Storage,Wi-Fi,OS,Weight (kg),Warranty,Warranty,Price (AUD),Link
43,Apple,"MacBook Air 15-inch with M4 Chip, 512GB/16GB (Midnight)",15.3,Liquid Retina LED-backlit display with IPS technology,2880 x 1864,Apple M4,,10 Core,10-core GPU,16,,512GB,Wi-Fi 6E (802.11 ax),MacOS Sequoia,,1 Year,,2099,https://www.jbhifi.com.au/products/apple-macbook-air-15-inch-with-m4-chip-512gb-16gb-midnight
44,Apple,"MacBook Air 15-inch with M4 Chip, 512GB/24GB (Midnight)",15.3,Liquid Retina LED-backlit display with IPS technology,2880 x 1864,Apple M4,,10 Core,10-core GPU,24,,512GB,Wi-Fi 6E (802.11 ax),MacOS Sequoia,,1 Year,,2399,https://www.jbhifi.com.au/products/apple-macbook-air-15-inch-with-m4-chip-512gb-24gb-midnight
45,Apple,"MacBook Air 15-inch with M4 Chip, 256GB/16GB (Midnight)",15.3,Liquid Retina LED-backlit display with IPS technology,2880 x 1864,Apple M4,,10 Core,10-core GPU,16,,256GB,Wi-Fi 6E (802.11 ax),MacOS Sequoia,,1 Year,,1799,https://www.jbhifi.com.au/products/apple-macbook-air-15-inch-with-m4-chip-256gb-16gb-midnight
46,Lenovo,"Yoga 7i 14"" 2.8K OLED 2-in-1 Laptop (Intel Core Ultra 7)[1TB]",14.0,OLED,2880 x 1800,Intel Core Ultra 7,,8 Core,Integrated Intel® Arc™ Graphics 140V,32,,1TB,Wi-Fi 7 (802.11 be),Windows 11 Home,1.38,1 Year,,1799,https://www.jbhifi.com.au/products/lenovo-yoga-7i-14-2-8k-oled-2-in-1-laptop-intel-core-ultra-71tb
47,Lenovo,"Yoga S7 14"" 2K OLED Laptop (Ryzen AI 7)[1TB/16GB]",14.0,OLED,1920 x 1200,AMD Ryzen AI 7,,8 Core,Integrated AMD Radeon™ 860M Graphics,16,,1TB,Wi-Fi 7 (802.11 be),Windows 11 Home,,1 Year,,1349,https://www.jbhifi.com.au/products/lenovo-yoga-s7-14-2k-oled-laptop-ryzen-ai-71tb-16gb
48,Lenovo,"LOQ Essential 15.6"" FHD 144Hz Gaming Laptop (Intel Core i5)[GeForce RTX 3050]",15.6,IPS,1920 x 1080,Intel Core i5,3.1,8 Core,RTX3050,16,SO-DIMM DDR5-4800,512GB,Wi-Fi 6 (802.11 ax),Windows 11 Home,1.77,1 Year,,899,https://www.jbhifi.com.au/products/lenovo-loq-essential-15-6-fhd-144hz-gaming-laptop-intel-core-i5geforce-rtx-3050
49,Lenovo,"Duet 11"" WUXGA Chromebook Laptop (MTK838)[128GB]",11.0,IPS,1920 x 1200,MTK,,8 Core,Integrated Arm Mali-G57 MC3 GPU,4,,128GB,Yes,Google Chrome,1.101,1 Year,,359,https://www.jbhifi.com.au/products/lenovo-duet-11-wuxga-chromebook-laptop-mtk838128gb
50,Microsoft,"Surface Pro (11th Edition) Copilot+ PC 13"" Snapdragon X Plus 10 core/16GB/512GB (Black)",13.0,Touchscreen: 13” PixelSense™ Flow Display,2880 x 1920,Qualcomm Snapdragon,3.4,10 Core,Integrated,16,,512GB,Wi-Fi 7 (802.11 be),Windows 11 Home,0.895,1 Year,,1499,https://www.jbhifi.com.au/products/microsoft-surface-pro-11th-edition-copilot-pc-13-snapdragon-x-plus-10-core-16gb-512gb-black
51,Microsoft,"Surface Laptop (7th Edition) Copilot+ PC 13.8"" Snapdragon X Plus 10 core/16GB/512GB (Platinum)",13.8,,2304 x 1536,Qualcomm Snapdragon,3.4,10 Core,Qualcomm® Adreno™ GPU,16,,512GB,Wi-Fi 7 (802.11 be),Windows 11 Home,1.22,1 Year,,1499,https://www.jbhifi.com.au/products/microsoft-surface-laptop-7th-edition-copilot-pc-13-8-snapdragon-x-plus-10-core-16gb-512gb-platinum
52,ASUS,"Vivobook Go 15 E510KA 15.6"" FHD Laptop (128GB) [Intel Celeron]",15.6,LED,1920 x 1080,Intel Core Celeron,1.1,Dual Core,Intel® HD Graphics,4,DDR4 SDRAM,128GB,Wi-Fi 5 (802.11 ac),Windows 11 Home,1.57,1 Year,,374,https://www.jbhifi.com.au/products/asus-vivobook-go-15-e510ka-15-6-fhd-laptop-128gb-intel-celeron
